Candidate_Rank,Antecedent_Items,support,confidence,lift,leverage,conviction,Rule_Length,Family_Signature,Family_Count,Score,Mechanism_Axis,Mechanism_Families,Governance_Scene,Governance_Interpretation_Template,Interpretation_Boundary,Semantic_Duplicate_Flag
1,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞速度_VK___GT_50_0,0.20077821011673153,0.7865853658536587,1.1990061626594917,0.033324350103710904,1.611739855475265,2,speed_v0|speed_vk,2,1.5677801777636982,speed_energy,speed_v0|speed_vk,speed enforcement and conflict-speed management,速度-碰撞能量轴线，适合支持限速、速度执法、冲突区速度管理和碰撞速度降低策略。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",0
29,VEH_碰撞速度_VK___GT_50_0||性别_GESCHL_3-男性||路灯_STRABEL_0-无路灯,0.04552529182879377,0.8796992481203008,1.340941321274717,0.01157504277127587,2.859241245136187,3,bio|light|speed_vk,3,1.1953800481860175,vulnerability_demographic_speed,bio|light|speed_vk,demographic speed-risk stratification,个体脆弱性—人口学/速度分层轴线，适合作为速度暴露下的人群分层风险线索，不应解释为体格机制。,Demographic speed-risk stratification signal; do not interpret sex or age strata as body-size mechanisms.,0
30,FEATURE_Age_Over60||VEH_碰撞时的总重_GEWGES___GT_1497_5,0.08365758754863813,0.7875457875457875,1.2004701506480866,0.013970234220048741,1.6190258956125048,2,age|vehicle_mass,2,1.1939163954424903,vehicle_mass_speed_energy,age|vehicle_mass,vehicle mass-speed energy audit signal,车辆总重—速度能量轴线，适合作为车辆质量/惯性与速度共同作用下的审计级治理线索。,"Vehicle mass-speed energy axis; use as an audit-level signal for vehicle mass/inertia combined with speed exposure, not as crash configuration governance.",0
31,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞前的制动距离_WEGV___GT_0_5||性别_GESCHL_3-男性,0.08560311284046693,0.7534246575342466,1.1484587009863665,0.011065723932232138,1.3949848681366193,3,bio|crash_type|speed_v0,3,1.1923785059147272,vulnerability_demographic_speed,bio|crash_type|speed_v0,demographic speed-risk stratification,个体脆弱性—人口学/速度分层轴线，适合作为速度暴露下的人群分层风险线索，不应解释为体格机制。,Demographic speed-risk stratification signal; do not interpret sex or age strata as body-size mechanisms.,0
32,FEATURE_Age_Over60||VEH_碰撞前的制动距离_WEGV___GT_0_5||性别_GESCHL_3-男性,0.06964980544747082,0.8063063063063064,1.2290671454372524,0.012980968674771762,1.775839290561941,3,age|bio|crash_type,3,1.1921055965335707,vulnerability_demographic,age|bio|crash_type,individual demographic risk stratification,个体脆弱性—人口学分层轴线，适合作为年龄/性别等人群分层下的风险识别线索，不应解释为体格或可直接干预因素。,Individual vulnerability–demographic stratification axis; use as a demographic risk-stratification cue rather than a directly intervenable body-size mechanism.,0
33,VEH_意识到危险前的初始速度_V0___GT_50_0||性别_GESCHL_3-男性||路灯_STRABEL_0-无路灯,0.04785992217898833,0.8661971830985916,1.32035988171019,0.011612287846901548,2.5707147245545783,3,bio|light|speed_v0,3,1.189885999882592,vulnerability_demographic_speed,bio|light|speed_v0,demographic speed-risk stratification,个体脆弱性—人口学/速度分层轴线，适合作为速度暴露下的人群分层风险线索，不应解释为体格机制。,Demographic speed-risk stratification signal; do not interpret sex or age strata as body-size mechanisms.,0
34,FEATURE_Age_Over60||VEH_车高_HOEHE___GT_1495_0||性别_GESCHL_3-男性,0.05992217898832685,0.8235294117647058,1.2553206335915148,0.012187618283395658,1.949156939040207,3,age|bio|vehicle_size,3,1.187515050635788,vehicle_geometry_vulnerability,age|bio|vehicle_size,vehicle geometry and vulnerability stratification,车辆几何—脆弱性分层轴线，适合作为车辆几何与VRU脆弱性共同出现的风险线索。,Vehicle geometry and vulnerability stratification signal; do not interpret demographic strata as body-size mechanisms.,0
35,FEATURE_Age_Over60||VEH_车长_LAENGE___GT_4598_5||性别_GESCHL_3-男性,0.06031128404669261,0.8201058201058201,1.2501019915017542,0.01206619328074611,1.9120622568093386,3,age|bio|vehicle_size,3,1.1854728078140155,vehicle_geometry_vulnerability,age|bio|vehicle_size,vehicle geometry and vulnerability stratification,车辆几何—脆弱性分层轴线，适合作为车辆几何与VRU脆弱性共同出现的风险线索。,Vehicle geometry and vulnerability stratification signal; do not interpret demographic strata as body-size mechanisms.,0
36,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞速度_VK___GT_50_0||VEH_车高_HOEHE___GT_1495_0||性别_GESCHL_3-男性,0.05408560311284047,0.8034682080924856,1.2247409814932908,0.009924752835016433,1.7501945525291838,4,bio|speed_v0|speed_vk|vehicle_size,4,1.1845749687778673,speed_energy,bio|speed_v0|speed_vk|vehicle_size,speed enforcement and conflict-speed management,速度-碰撞能量轴线，适合支持限速、速度执法、冲突区速度管理和碰撞速度降低策略。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",0
37,FEATURE_Age_Over60||VEH_碰撞前的制动距离_WEGV___GT_0_5,0.08521400778210117,0.7849462365591398,1.1965076085154147,0.013995064270465873,1.5994552529182877,2,age|crash_type,2,1.1814008161781226,crash_configuration,age|crash_type,conflict type and road-space redesign governance,碰撞构型轴线，适合支持冲突类型识别、交通组织和道路空间再设计。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",0
38,VEH_碰撞前的制动距离_WEGV___GT_0_5||VEH_碰撞速度_VK___GT_50_0||性别_GESCHL_3-男性,0.07003891050583658,0.7929515418502202,1.2087102387633843,0.01209374858059925,1.6612964649391502,3,bio|crash_type|speed_vk,3,1.1805273072913691,vulnerability_demographic_speed,bio|crash_type|speed_vk,demographic speed-risk stratification,个体脆弱性—人口学/速度分层轴线，适合作为速度暴露下的人群分层风险线索，不应解释为体格机制。,Demographic speed-risk stratification signal; do not interpret sex or age strata as body-size mechanisms.,0
39,FEATURE_Age_Over60||性别_GESCHL_3-男性||路灯_STRABEL_0-无路灯,0.040077821011673155,0.8803418803418804,1.3419208970810397,0.010211812442277708,2.874596998332409,3,age|bio|light,3,1.1785652057207925,vulnerability_demographic,age|bio|light,individual demographic risk stratification,个体脆弱性—人口学分层轴线，适合作为年龄/性别等人群分层下的风险识别线索，不应解释为体格或可直接干预因素。,Individual vulnerability–demographic stratification axis; use as a demographic risk-stratification cue rather than a directly intervenable body-size mechanism.,0
40,FEATURE_Age_Over60||VEH_碰撞时的总重_GEWGES___GT_1497_5||VEH_车长_LAENGE___GT_4598_5||性别_GESCHL_3-男性,0.04552529182879377,0.823943661971831,1.2559520826023758,0.00927765749670699,1.9537431906614788,4,age|bio|vehicle_mass|vehicle_size,4,1.1768427803761239,vehicle_geometry_vulnerability,age|bio|vehicle_mass|vehicle_size,vehicle geometry and vulnerability stratification,车辆几何—脆弱性分层轴线，适合作为车辆几何与VRU脆弱性共同出现的风险线索。,Vehicle geometry and vulnerability stratification signal; do not interpret demographic strata as body-size mechanisms.,0
41,VEH_碰撞速度_VK___GT_50_0||路灯_STRABEL_0-无路灯,0.061867704280155644,0.8412698412698413,1.2823626880566383,0.013622613514209146,2.1670038910505838,2,light|speed_vk,2,1.1757753318866355,lighting_visibility,light|speed_vk,night lighting and visibility governance,照明-可视性轴线，适合支持夜间照明、路灯状态、反光设施和主动警示治理。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",0
42,VEH_意识到危险前的初始速度_V0___GT_50_0||路灯_STRABEL_0-无路灯,0.06342412451361867,0.8358974358974359,1.2741734343157831,0.013647443564626265,2.096060311284047,2,light|speed_v0,2,1.175597220343388,lighting_visibility,light|speed_v0,night lighting and visibility governance,照明-可视性轴线，适合支持夜间照明、路灯状态、反光设施和主动警示治理。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",0
43,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞速度_VK___GT_50_0||VEH_车高_HOEHE___GT_1495_0,0.06848249027237355,0.7822222222222224,1.1923553446685122,0.011047858408151534,1.5794489001826422,3,speed_v0|speed_vk|vehicle_size,3,1.1752443247434818,speed_energy,speed_v0|speed_vk|vehicle_size,speed enforcement and conflict-speed management,速度-碰撞能量轴线，适合支持限速、速度执法、冲突区速度管理和碰撞速度降低策略。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",0
44,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0||性别_GESCHL_3-男性||路灯_STRABEL_0-无路灯,0.017120622568093387,0.9166666666666667,1.3972914195334125,0.004867901103726023,4.127626459143973,4,age|bio|light|speed_vk,4,1.1749817217552656,vulnerability_speed,age|bio|light|speed_vk,VRU vulnerability-sensitive speed and crossing protection,易损个体-速度轴线，适合支持老年/体弱VRU高暴露场景下的速度控制、过街保护和预警设施。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",0
45,FEATURE_Age_Over60||VEH_车宽_BREITE___GT_1800_0,0.07470817120622568,0.7966804979253111,1.2143943533025205,0.013189298853881211,1.6917652664178506,2,age|vehicle_size,2,1.1740495355830805,vehicle_geometry_vulnerability,age|vehicle_size,vehicle geometry and vulnerability stratification,车辆几何—脆弱性分层轴线，适合作为车辆几何与VRU脆弱性共同出现的风险线索。,Vehicle geometry and vulnerability stratification signal; do not interpret demographic strata as body-size mechanisms.,0
46,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞时的总重_GEWGES___GT_1497_5||VEH_碰撞速度_VK___GT_50_0,0.027237354085603113,0.875,1.3337781731909846,0.0068161516449908414,2.751750972762646,4,age|speed_v0|speed_vk|vehicle_mass,4,1.1673463658141436,speed_energy,age|speed_v0|speed_vk|vehicle_mass,speed enforcement and conflict-speed management,速度-碰撞能量轴线，适合支持限速、速度执法、冲突区速度管理和碰撞速度降低策略。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",0
47,FEATURE_Age_Over60||VEH_碰撞时的总重_GEWGES___GT_1497_5||VEH_车高_HOEHE___GT_1495_0||性别_GESCHL_3-男性,0.03929961089494163,0.8347107438016529,1.2723645382978932,0.008412542203515571,2.081011673151751,4,age|bio|vehicle_mass|vehicle_size,4,1.1672592989654573,vehicle_geometry_vulnerability,age|bio|vehicle_mass|vehicle_size,vehicle geometry and vulnerability stratification,车辆几何—脆弱性分层轴线，适合作为车辆几何与VRU脆弱性共同出现的风险线索。,Vehicle geometry and vulnerability stratification signal; do not interpret demographic strata as body-size mechanisms.,0
48,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞时的总重_GEWGES___GT_1497_5||性别_GESCHL_3-男性,0.02840466926070039,0.869047619047619,1.3247048522849234,0.0069624066980575015,2.626671383091615,4,age|bio|speed_v0|vehicle_mass,4,1.1653662176891473,vehicle_mass_speed_energy,age|bio|speed_v0|vehicle_mass,vehicle mass-speed energy audit signal,车辆总重—速度能量轴线，适合作为车辆质量/惯性与速度共同作用下的审计级治理线索。,"Vehicle mass-speed energy axis; use as an audit-level signal for vehicle mass/inertia combined with speed exposure, not as crash configuration governance.",0
49,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞速度_VK___GT_50_0||VEH_车宽_BREITE___GT_1800_0,0.02178988326848249,0.8888888888888888,1.3549492553051272,0.0057081863465003255,3.0957198443579754,4,age|speed_v0|speed_vk|vehicle_size,4,1.163250758131742,speed_energy,age|speed_v0|speed_vk|vehicle_size,speed enforcement and conflict-speed management,速度-碰撞能量轴线，适合支持限速、速度执法、冲突区速度管理和碰撞速度降低策略。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",0
50,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_车长_LAENGE___GT_4598_5,0.09221789883268483,0.726993865030675,1.1081697705390479,0.009001498887189818,1.2599309229222233,2,speed_v0|vehicle_size,2,1.1631666167008075,vehicle_geometry_interaction,speed_v0|vehicle_size,"vehicle geometry, blind-zone, and VRU protection design",车辆几何-VRU交互轴线，适合支持车辆前端几何、盲区、车辆类型和VRU保护设计讨论。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",0
51,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞时的总重_GEWGES___GT_1497_5||性别_GESCHL_3-男性||路灯_STRABEL_0-无路灯,0.019455252918287938,0.8928571428571429,1.360998135909168,0.005160411209859347,3.210376134889755,4,bio|light|speed_v0|vehicle_mass,4,1.1595903121346578,vehicle_mass_speed_energy,bio|light|speed_v0|vehicle_mass,vehicle mass-speed energy audit signal,车辆总重—速度能量轴线，适合作为车辆质量/惯性与速度共同作用下的审计级治理线索。,"Vehicle mass-speed energy axis; use as an audit-level signal for vehicle mass/inertia combined with speed exposure, not as crash configuration governance.",0
