Position,Train_Raw_Column,Test_Raw_Column,Train_Sanitized_Column,Test_Sanitized_Column,Feature_Kind,Status
46,VEH_边坡横向宽度(RPWIDTH),VEH_边坡横向宽度(RPWIDTH),VEH_边坡横向宽度_RPWIDTH,VEH_边坡横向宽度_RPWIDTH,continuous_or_numeric,aligned
47,VEH_护栏单元长度(SPLANKEL),VEH_护栏单元长度(SPLANKEL),VEH_护栏单元长度_SPLANKEL,VEH_护栏单元长度_SPLANKEL,continuous_or_numeric,aligned
48,VEH_护栏顶端离地高(SPLANKEH),VEH_护栏顶端离地高(SPLANKEH),VEH_护栏顶端离地高_SPLANKEH,VEH_护栏顶端离地高_SPLANKEH,continuous_or_numeric,aligned
49,VEH_车上第一碰撞点X向坐标(BRPX),VEH_车上第一碰撞点X向坐标(BRPX),VEH_车上第一碰撞点X向坐标_BRPX,VEH_车上第一碰撞点X向坐标_BRPX,continuous_or_numeric,aligned
50,VEH_车上第一碰撞点Y向坐标(BRPY),VEH_车上第一碰撞点Y向坐标(BRPY),VEH_车上第一碰撞点Y向坐标_BRPY,VEH_车上第一碰撞点Y向坐标_BRPY,continuous_or_numeric,aligned
51,VEH_车上第一碰撞点Z向坐标(BRPZ),VEH_车上第一碰撞点Z向坐标(BRPZ),VEH_车上第一碰撞点Z向坐标_BRPZ,VEH_车上第一碰撞点Z向坐标_BRPZ,continuous_or_numeric,aligned
52,VEH_接触重合度(OVERPER),VEH_接触重合度(OVERPER),VEH_接触重合度_OVERPER,VEH_接触重合度_OVERPER,continuous_or_numeric,aligned
53,FEATURE_Hour,FEATURE_Hour,FEATURE_Hour,FEATURE_Hour,continuous_or_numeric,aligned
54,VEH_柱状物离道路的距离(MABST),VEH_柱状物离道路的距离(MABST),VEH_柱状物离道路的距离_MABST,VEH_柱状物离道路的距离_MABST,categorical_dummy_or_binary,aligned
55,VEH_沟渠深度(DITCHDPT),VEH_沟渠深度(DITCHDPT),VEH_沟渠深度_DITCHDPT,VEH_沟渠深度_DITCHDPT,categorical_dummy_or_binary,aligned
56,VEH_沟渠宽度(DITWIDTH),VEH_沟渠宽度(DITWIDTH),VEH_沟渠宽度_DITWIDTH,VEH_沟渠宽度_DITWIDTH,categorical_dummy_or_binary,aligned
57,VEH_沟渠与道路水平面的高度差(ALTDIFF),VEH_沟渠与道路水平面的高度差(ALTDIFF),VEH_沟渠与道路水平面的高度差_ALTDIFF,VEH_沟渠与道路水平面的高度差_ALTDIFF,categorical_dummy_or_binary,aligned
58,VEH_沟渠中心与道路边沿的水平距离(HORDIST),VEH_沟渠中心与道路边沿的水平距离(HORDIST),VEH_沟渠中心与道路边沿的水平距离_HORDIST,VEH_沟渠中心与道路边沿的水平距离_HORDIST,categorical_dummy_or_binary,aligned
59,VEH_沟渠水深(WATDEP),VEH_沟渠水深(WATDEP),VEH_沟渠水深_WATDEP,VEH_沟渠水深_WATDEP,categorical_dummy_or_binary,aligned
60,FEATURE_Is_RushHour,FEATURE_Is_RushHour,FEATURE_Is_RushHour,FEATURE_Is_RushHour,categorical_dummy_or_binary,aligned
61,FEATURE_Is_Night,FEATURE_Is_Night,FEATURE_Is_Night,FEATURE_Is_Night,categorical_dummy_or_binary,aligned
62,FEATURE_Is_Weekend,FEATURE_Is_Weekend,FEATURE_Is_Weekend,FEATURE_Is_Weekend,categorical_dummy_or_binary,aligned
63,FEATURE_Opp_Is_PureEV,FEATURE_Opp_Is_PureEV,FEATURE_Opp_Is_PureEV,FEATURE_Opp_Is_PureEV,categorical_dummy_or_binary,aligned
64,FEATURE_Opp_Is_HybridEV,FEATURE_Opp_Is_HybridEV,FEATURE_Opp_Is_HybridEV,FEATURE_Opp_Is_HybridEV,categorical_dummy_or_binary,aligned
65,FEATURE_Opp_Is_NEV,FEATURE_Opp_Is_NEV,FEATURE_Opp_Is_NEV,FEATURE_Opp_Is_NEV,categorical_dummy_or_binary,aligned
66,人员类型(PTYPE)_1-驾驶员,人员类型(PTYPE)_1-驾驶员,人员类型_PTYPE_1-驾驶员,人员类型_PTYPE_1-驾驶员,categorical_dummy_or_binary,aligned
67,人员类型(PTYPE)_2-乘员,人员类型(PTYPE)_2-乘员,人员类型_PTYPE_2-乘员,人员类型_PTYPE_2-乘员,categorical_dummy_or_binary,aligned
68,人员类型(PTYPE)_4-被抱着的乘员,人员类型(PTYPE)_4-被抱着的乘员,人员类型_PTYPE_4-被抱着的乘员,人员类型_PTYPE_4-被抱着的乘员,categorical_dummy_or_binary,aligned
69,人员类型(PTYPE)_MISSING_OR_UNKNOWN,人员类型(PTYPE)_MISSING_OR_UNKNOWN,人员类型_PTYPE_MISSING_OR_UNKNOWN,人员类型_PTYPE_MISSING_OR_UNKNOWN,categorical_dummy_or_binary,aligned
70,性别(GESCHL)_3-男性,性别(GESCHL)_3-男性,性别_GESCHL_3-男性,性别_GESCHL_3-男性,categorical_dummy_or_binary,aligned
71,性别(GESCHL)_4-女性,性别(GESCHL)_4-女性,性别_GESCHL_4-女性,性别_GESCHL_4-女性,categorical_dummy_or_binary,aligned
72,性别(GESCHL)_9-未知,性别(GESCHL)_9-未知,性别_GESCHL_9-未知,性别_GESCHL_9-未知,categorical_dummy_or_binary,aligned
73,国籍(NAT)_1-中国(含中国香港、澳门及台湾),国籍(NAT)_1-中国(含中国香港、澳门及台湾),国籍_NAT_1-中国_含中国香港、澳门及台湾,国籍_NAT_1-中国_含中国香港、澳门及台湾,categorical_dummy_or_binary,aligned
74,国籍(NAT)_MISSING_OR_UNKNOWN,国籍(NAT)_MISSING_OR_UNKNOWN,国籍_NAT_MISSING_OR_UNKNOWN,国籍_NAT_MISSING_OR_UNKNOWN,categorical_dummy_or_binary,aligned
75,身材(STATUR)_3-瘦,身材(STATUR)_3-瘦,身材_STATUR_3-瘦,身材_STATUR_3-瘦,categorical_dummy_or_binary,aligned
76,身材(STATUR)_4-正常,身材(STATUR)_4-正常,身材_STATUR_4-正常,身材_STATUR_4-正常,categorical_dummy_or_binary,aligned
77,身材(STATUR)_5-胖,身材(STATUR)_5-胖,身材_STATUR_5-胖,身材_STATUR_5-胖,categorical_dummy_or_binary,aligned
78,身材(STATUR)_9-未知,身材(STATUR)_9-未知,身材_STATUR_9-未知,身材_STATUR_9-未知,categorical_dummy_or_binary,aligned
79,身材(STATUR)_MISSING_OR_UNKNOWN,身材(STATUR)_MISSING_OR_UNKNOWN,身材_STATUR_MISSING_OR_UNKNOWN,身材_STATUR_MISSING_OR_UNKNOWN,categorical_dummy_or_binary,aligned
80,"衣着厚度(BEKLST)_3-薄的,如：衬衫、短裤","衣着厚度(BEKLST)_3-薄的,如：衬衫、短裤",衣着厚度_BEKLST_3-薄的_如：衬衫、短裤,衣着厚度_BEKLST_3-薄的_如：衬衫、短裤,categorical_dummy_or_binary,aligned
81,衣着厚度(BEKLST)_4-中等的，如：毛衣，牛仔裤，西装,衣着厚度(BEKLST)_4-中等的，如：毛衣，牛仔裤，西装,衣着厚度_BEKLST_4-中等的，如：毛衣，牛仔裤，西装,衣着厚度_BEKLST_4-中等的，如：毛衣，牛仔裤，西装,categorical_dummy_or_binary,aligned
82,衣着厚度(BEKLST)_5-厚的，如：棉袄、大衣,衣着厚度(BEKLST)_5-厚的，如：棉袄、大衣,衣着厚度_BEKLST_5-厚的，如：棉袄、大衣,衣着厚度_BEKLST_5-厚的，如：棉袄、大衣,categorical_dummy_or_binary,aligned
83,衣着厚度(BEKLST)_9-未知,衣着厚度(BEKLST)_9-未知,衣着厚度_BEKLST_9-未知,衣着厚度_BEKLST_9-未知,categorical_dummy_or_binary,aligned
84,衣着厚度(BEKLST)_MISSING_OR_UNKNOWN,衣着厚度(BEKLST)_MISSING_OR_UNKNOWN,衣着厚度_BEKLST_MISSING_OR_UNKNOWN,衣着厚度_BEKLST_MISSING_OR_UNKNOWN,categorical_dummy_or_binary,aligned
85,先期疾病1(VORKR1)_1-有，具体未知,先期疾病1(VORKR1)_1-有，具体未知,先期疾病1_VORKR1_1-有，具体未知,先期疾病1_VORKR1_1-有，具体未知,categorical_dummy_or_binary,aligned
86,先期疾病1(VORKR1)_2-无,先期疾病1(VORKR1)_2-无,先期疾病1_VORKR1_2-无,先期疾病1_VORKR1_2-无,categorical_dummy_or_binary,aligned
87,先期疾病1(VORKR1)_20-心脏疾病，具体未知,先期疾病1(VORKR1)_20-心脏疾病，具体未知,先期疾病1_VORKR1_20-心脏疾病，具体未知,先期疾病1_VORKR1_20-心脏疾病，具体未知,categorical_dummy_or_binary,aligned
88,先期疾病1(VORKR1)_30-循环系统疾病,先期疾病1(VORKR1)_30-循环系统疾病,先期疾病1_VORKR1_30-循环系统疾病,先期疾病1_VORKR1_30-循环系统疾病,categorical_dummy_or_binary,aligned
89,先期疾病1(VORKR1)_31-高血压,先期疾病1(VORKR1)_31-高血压,先期疾病1_VORKR1_31-高血压,先期疾病1_VORKR1_31-高血压,categorical_dummy_or_binary,aligned
90,先期疾病1(VORKR1)_40-特殊关节疾病,先期疾病1(VORKR1)_40-特殊关节疾病,先期疾病1_VORKR1_40-特殊关节疾病,先期疾病1_VORKR1_40-特殊关节疾病,categorical_dummy_or_binary,aligned
91,先期疾病1(VORKR1)_43-生理机能退化,先期疾病1(VORKR1)_43-生理机能退化,先期疾病1_VORKR1_43-生理机能退化,先期疾病1_VORKR1_43-生理机能退化,categorical_dummy_or_binary,aligned
92,先期疾病1(VORKR1)_50-代谢系统疾病,先期疾病1(VORKR1)_50-代谢系统疾病,先期疾病1_VORKR1_50-代谢系统疾病,先期疾病1_VORKR1_50-代谢系统疾病,categorical_dummy_or_binary,aligned
93,先期疾病1(VORKR1)_51-糖尿病,先期疾病1(VORKR1)_51-糖尿病,先期疾病1_VORKR1_51-糖尿病,先期疾病1_VORKR1_51-糖尿病,categorical_dummy_or_binary,aligned
94,先期疾病1(VORKR1)_52-肠胃疾病,先期疾病1(VORKR1)_52-肠胃疾病,先期疾病1_VORKR1_52-肠胃疾病,先期疾病1_VORKR1_52-肠胃疾病,categorical_dummy_or_binary,aligned
95,先期疾病1(VORKR1)_6-过去三月内做过手术,先期疾病1(VORKR1)_6-过去三月内做过手术,先期疾病1_VORKR1_6-过去三月内做过手术,先期疾病1_VORKR1_6-过去三月内做过手术,categorical_dummy_or_binary,aligned
96,先期疾病1(VORKR1)_70-肺部疾病,先期疾病1(VORKR1)_70-肺部疾病,先期疾病1_VORKR1_70-肺部疾病,先期疾病1_VORKR1_70-肺部疾病,categorical_dummy_or_binary,aligned
97,先期疾病1(VORKR1)_8-其他,先期疾病1(VORKR1)_8-其他,先期疾病1_VORKR1_8-其他,先期疾病1_VORKR1_8-其他,categorical_dummy_or_binary,aligned
98,先期疾病1(VORKR1)_9-未知,先期疾病1(VORKR1)_9-未知,先期疾病1_VORKR1_9-未知,先期疾病1_VORKR1_9-未知,categorical_dummy_or_binary,aligned
99,先期疾病1(VORKR1)_MISSING_OR_UNKNOWN,先期疾病1(VORKR1)_MISSING_OR_UNKNOWN,先期疾病1_VORKR1_MISSING_OR_UNKNOWN,先期疾病1_VORKR1_MISSING_OR_UNKNOWN,categorical_dummy_or_binary,aligned
100,先期疾病2(VORKR2)_1-有，具体未知,先期疾病2(VORKR2)_1-有，具体未知,先期疾病2_VORKR2_1-有，具体未知,先期疾病2_VORKR2_1-有，具体未知,categorical_dummy_or_binary,aligned
101,先期疾病2(VORKR2)_10-脑部疾病，具体未知,先期疾病2(VORKR2)_10-脑部疾病，具体未知,先期疾病2_VORKR2_10-脑部疾病，具体未知,先期疾病2_VORKR2_10-脑部疾病，具体未知,categorical_dummy_or_binary,aligned
102,先期疾病2(VORKR2)_2-无,先期疾病2(VORKR2)_2-无,先期疾病2_VORKR2_2-无,先期疾病2_VORKR2_2-无,categorical_dummy_or_binary,aligned
103,先期疾病2(VORKR2)_20-心脏疾病，具体未知,先期疾病2(VORKR2)_20-心脏疾病，具体未知,先期疾病2_VORKR2_20-心脏疾病，具体未知,先期疾病2_VORKR2_20-心脏疾病，具体未知,categorical_dummy_or_binary,aligned
104,先期疾病2(VORKR2)_21-陈旧性血管梗塞,先期疾病2(VORKR2)_21-陈旧性血管梗塞,先期疾病2_VORKR2_21-陈旧性血管梗塞,先期疾病2_VORKR2_21-陈旧性血管梗塞,categorical_dummy_or_binary,aligned
105,先期疾病2(VORKR2)_30-循环系统疾病,先期疾病2(VORKR2)_30-循环系统疾病,先期疾病2_VORKR2_30-循环系统疾病,先期疾病2_VORKR2_30-循环系统疾病,categorical_dummy_or_binary,aligned
106,先期疾病2(VORKR2)_31-高血压,先期疾病2(VORKR2)_31-高血压,先期疾病2_VORKR2_31-高血压,先期疾病2_VORKR2_31-高血压,categorical_dummy_or_binary,aligned
107,先期疾病2(VORKR2)_41-风湿病,先期疾病2(VORKR2)_41-风湿病,先期疾病2_VORKR2_41-风湿病,先期疾病2_VORKR2_41-风湿病,categorical_dummy_or_binary,aligned
108,先期疾病2(VORKR2)_50-代谢系统疾病,先期疾病2(VORKR2)_50-代谢系统疾病,先期疾病2_VORKR2_50-代谢系统疾病,先期疾病2_VORKR2_50-代谢系统疾病,categorical_dummy_or_binary,aligned
109,先期疾病2(VORKR2)_51-糖尿病,先期疾病2(VORKR2)_51-糖尿病,先期疾病2_VORKR2_51-糖尿病,先期疾病2_VORKR2_51-糖尿病,categorical_dummy_or_binary,aligned
110,先期疾病2(VORKR2)_70-肺部疾病,先期疾病2(VORKR2)_70-肺部疾病,先期疾病2_VORKR2_70-肺部疾病,先期疾病2_VORKR2_70-肺部疾病,categorical_dummy_or_binary,aligned
111,先期疾病2(VORKR2)_8-其他,先期疾病2(VORKR2)_8-其他,先期疾病2_VORKR2_8-其他,先期疾病2_VORKR2_8-其他,categorical_dummy_or_binary,aligned
112,先期疾病2(VORKR2)_9-未知,先期疾病2(VORKR2)_9-未知,先期疾病2_VORKR2_9-未知,先期疾病2_VORKR2_9-未知,categorical_dummy_or_binary,aligned
113,先期疾病2(VORKR2)_MISSING_OR_UNKNOWN,先期疾病2(VORKR2)_MISSING_OR_UNKNOWN,先期疾病2_VORKR2_MISSING_OR_UNKNOWN,先期疾病2_VORKR2_MISSING_OR_UNKNOWN,categorical_dummy_or_binary,aligned
114,先期疾病3(VORKR3)_1-有，具体未知,先期疾病3(VORKR3)_1-有，具体未知,先期疾病3_VORKR3_1-有，具体未知,先期疾病3_VORKR3_1-有，具体未知,categorical_dummy_or_binary,aligned
115,先期疾病3(VORKR3)_2-无,先期疾病3(VORKR3)_2-无,先期疾病3_VORKR3_2-无,先期疾病3_VORKR3_2-无,categorical_dummy_or_binary,aligned
116,先期疾病3(VORKR3)_20-心脏疾病，具体未知,先期疾病3(VORKR3)_20-心脏疾病，具体未知,先期疾病3_VORKR3_20-心脏疾病，具体未知,先期疾病3_VORKR3_20-心脏疾病，具体未知,categorical_dummy_or_binary,aligned
117,先期疾病3(VORKR3)_31-高血压,先期疾病3(VORKR3)_31-高血压,先期疾病3_VORKR3_31-高血压,先期疾病3_VORKR3_31-高血压,categorical_dummy_or_binary,aligned
118,先期疾病3(VORKR3)_43-生理机能退化,先期疾病3(VORKR3)_43-生理机能退化,先期疾病3_VORKR3_43-生理机能退化,先期疾病3_VORKR3_43-生理机能退化,categorical_dummy_or_binary,aligned
119,先期疾病3(VORKR3)_52-肠胃疾病,先期疾病3(VORKR3)_52-肠胃疾病,先期疾病3_VORKR3_52-肠胃疾病,先期疾病3_VORKR3_52-肠胃疾病,categorical_dummy_or_binary,aligned
120,先期疾病3(VORKR3)_70-肺部疾病,先期疾病3(VORKR3)_70-肺部疾病,先期疾病3_VORKR3_70-肺部疾病,先期疾病3_VORKR3_70-肺部疾病,categorical_dummy_or_binary,aligned
121,先期疾病3(VORKR3)_8-其他,先期疾病3(VORKR3)_8-其他,先期疾病3_VORKR3_8-其他,先期疾病3_VORKR3_8-其他,categorical_dummy_or_binary,aligned
122,先期疾病3(VORKR3)_9-未知,先期疾病3(VORKR3)_9-未知,先期疾病3_VORKR3_9-未知,先期疾病3_VORKR3_9-未知,categorical_dummy_or_binary,aligned
123,先期疾病3(VORKR3)_MISSING_OR_UNKNOWN,先期疾病3(VORKR3)_MISSING_OR_UNKNOWN,先期疾病3_VORKR3_MISSING_OR_UNKNOWN,先期疾病3_VORKR3_MISSING_OR_UNKNOWN,categorical_dummy_or_binary,aligned
124,酒精作用(MEDALK)_1-酒精，具体未知,酒精作用(MEDALK)_1-酒精，具体未知,酒精作用_MEDALK_1-酒精，具体未知,酒精作用_MEDALK_1-酒精，具体未知,categorical_dummy_or_binary,aligned
125,酒精作用(MEDALK)_2-无,酒精作用(MEDALK)_2-无,酒精作用_MEDALK_2-无,酒精作用_MEDALK_2-无,categorical_dummy_or_binary,aligned
126,酒精作用(MEDALK)_3-行为正常,酒精作用(MEDALK)_3-行为正常,酒精作用_MEDALK_3-行为正常,酒精作用_MEDALK_3-行为正常,categorical_dummy_or_binary,aligned
127,酒精作用(MEDALK)_5-喝醉,酒精作用(MEDALK)_5-喝醉,酒精作用_MEDALK_5-喝醉,酒精作用_MEDALK_5-喝醉,categorical_dummy_or_binary,aligned
128,酒精作用(MEDALK)_9-未知,酒精作用(MEDALK)_9-未知,酒精作用_MEDALK_9-未知,酒精作用_MEDALK_9-未知,categorical_dummy_or_binary,aligned
129,酒精作用(MEDALK)_MISSING_OR_UNKNOWN,酒精作用(MEDALK)_MISSING_OR_UNKNOWN,酒精作用_MEDALK_MISSING_OR_UNKNOWN,酒精作用_MEDALK_MISSING_OR_UNKNOWN,categorical_dummy_or_binary,aligned
130,身体残疾或其他特殊情况(UNVERMOG)_2-无,身体残疾或其他特殊情况(UNVERMOG)_2-无,身体残疾或其他特殊情况_UNVERMOG_2-无,身体残疾或其他特殊情况_UNVERMOG_2-无,categorical_dummy_or_binary,aligned
131,身体残疾或其他特殊情况(UNVERMOG)_9-未知,身体残疾或其他特殊情况(UNVERMOG)_9-未知,身体残疾或其他特殊情况_UNVERMOG_9-未知,身体残疾或其他特殊情况_UNVERMOG_9-未知,categorical_dummy_or_binary,aligned
132,身体残疾或其他特殊情况(UNVERMOG)_MISSING_OR_UNKNOWN,身体残疾或其他特殊情况(UNVERMOG)_MISSING_OR_UNKNOWN,身体残疾或其他特殊情况_UNVERMOG_MISSING_OR_UNKNOWN,身体残疾或其他特殊情况_UNVERMOG_MISSING_OR_UNKNOWN,categorical_dummy_or_binary,aligned
133,自杀企图(SUIZID)_2-没有自杀的证据,自杀企图(SUIZID)_2-没有自杀的证据,自杀企图_SUIZID_2-没有自杀的证据,自杀企图_SUIZID_2-没有自杀的证据,categorical_dummy_or_binary,aligned
134,自杀企图(SUIZID)_9-未知,自杀企图(SUIZID)_9-未知,自杀企图_SUIZID_9-未知,自杀企图_SUIZID_9-未知,categorical_dummy_or_binary,aligned
135,自杀企图(SUIZID)_MISSING_OR_UNKNOWN,自杀企图(SUIZID)_MISSING_OR_UNKNOWN,自杀企图_SUIZID_MISSING_OR_UNKNOWN,自杀企图_SUIZID_MISSING_OR_UNKNOWN,categorical_dummy_or_binary,aligned
136,年龄月数记录(ALTER2)_0-不适用(人员年龄大于2岁) ,年龄月数记录(ALTER2)_0-不适用(人员年龄大于2岁) ,年龄月数记录_ALTER2_0-不适用_人员年龄大于2岁,年龄月数记录_ALTER2_0-不适用_人员年龄大于2岁,categorical_dummy_or_binary,aligned
137,年龄月数记录(ALTER2)_24-24,年龄月数记录(ALTER2)_24-24,年龄月数记录_ALTER2_24-24,年龄月数记录_ALTER2_24-24,categorical_dummy_or_binary,aligned
138,年龄月数记录(ALTER2)_99-未知,年龄月数记录(ALTER2)_99-未知,年龄月数记录_ALTER2_99-未知,年龄月数记录_ALTER2_99-未知,categorical_dummy_or_binary,aligned
139,年龄段(ALTERG)_10-61至70岁,年龄段(ALTERG)_10-61至70岁,年龄段_ALTERG_10-61至70岁,年龄段_ALTERG_10-61至70岁,categorical_dummy_or_binary,aligned
140,年龄段(ALTERG)_11-71岁以上的老人,年龄段(ALTERG)_11-71岁以上的老人,年龄段_ALTERG_11-71岁以上的老人,年龄段_ALTERG_11-71岁以上的老人,categorical_dummy_or_binary,aligned
141,年龄段(ALTERG)_3-小于6岁学龄前儿童,年龄段(ALTERG)_3-小于6岁学龄前儿童,年龄段_ALTERG_3-小于6岁学龄前儿童,年龄段_ALTERG_3-小于6岁学龄前儿童,categorical_dummy_or_binary,aligned
142,年龄段(ALTERG)_4-6至12岁儿童,年龄段(ALTERG)_4-6至12岁儿童,年龄段_ALTERG_4-6至12岁儿童,年龄段_ALTERG_4-6至12岁儿童,categorical_dummy_or_binary,aligned
